Jiawei Han
Xindong Wu
Eamonn J. Keogh
Xingquan Zhu
Zheng Chen
Hui Xiong
Tao Li
Chris H. Q. Ding
Christos Faloutsos
Zhi-Hua Zhou
Ke Wang
Jun Yan
Wei Fan
Enhong Chen
Jian Pei
Jing Gao
Hans-Peter Kriegel
Jie Tang
Thomas Seidl
Ruoming Jin
Qiang Yang
Yong Ge
Peng Zhang
Shuicheng Yan
Fei Wang
Chengqi Zhang
Jimeng Sun
Jennifer Neville
Kristian Kersting
Francesco Bonchi
Ian Davidson
Charu C. Aggarwal
Ning Liu
Shashi Shekhar
Emmanuel M&#252;ller
Bing Liu
Huan Liu
Haixun Wang
Stephan G&#252;nnemann
Bhavani M. Thuraisingham
Claudia Plant
Wei Wang
Ming-Syan Chen
Ambuj K. Singh
Aristides Gionis
Jianyong Wang
Benyu Zhang
Nikolaj Tatti
Jeffrey Xu Yu
Carlotta Domeniconi
Ee-Peng Lim
Geoffrey I. Webb
Longbing Cao
Wei Ding
Nitesh V. Chawla
Xiangnan Kong
Arindam Banerjee
Li Guo
Feida Zhu
Jilles Vreeken
Yi-Dong Shen
Ira Assent
Ada Wai-Chee Fu
Charles X. Ling
Jure Leskovec
Kun Zhang
Qi Liu
Xifeng Yan
Hanghang Tong
Heng Huang
Osmar R. Za&#239;ane
Kaizhu Huang
Hisashi Kashima
Changshui Zhang
Dacheng Tao
Abdullah Mueen
Zhiyong Shen
Pang-Ning Tan
Toon Calders
Zhongfei (Mark) Zhang
Alexander Tuzhilin
Mohamed S. Kamel
Feng Chen
Stefan Kramer
Srinivasan Parthasarathy
Francesco Gullo
Spiros Papadimitriou
Yong Yu
Xianchao Zhang
Thomas S. Huang
Vipin Kumar
George Karypis
Lars Schmidt-Thieme
Sanjay Chawla
Inderjit S. Dhillon
Liang Du
Dejing Dou
Wai Lam
Xiang Wang
Jingrui He
Martin Ester
Bart Goethals
Kai Ming Ting
Ping Luo
Ad Feelders
Kenji Yamanishi
Shin Ando
Tamara G. Kolda
Takashi Washio
Bo Liu
Raymond Chi-Wing Wong
Jie Yin
Aidong Zhang
Latifur Khan
Arno Siebes
Christian B&#246;hm
Hao Huang
Ali Ghodsi
Ben Kao
Hong Cheng
Thanawin Rakthanmanon
Ryota Tomioka
Slobodan Vucetic
Xiangliang Zhang
Michail Vlachos
Weizhu Chen
Suhrid Balakrishnan
Seungjin Choi
Kui Yu
Shou-De Lin
Jude W. Shavlik
U. Kang
Jing Peng
Yizhou Sun
Shinjae Yoo
J&#246;rg Sander
Kun Deng
Vivekanand Gopalkrishnan
Yanjie Fu
Chun-Nan Hsu
Faisal Kamiran
Peer Kr&#246;ger
Wei Wang
Ashok N. Srivastava
Qiang Fu
Yanchi Liu
Cyrus Shahabi
Jaewon Yang
Ping Li
Hong Qin
Chuanren Liu
David W. Cheung
Xiaoxiao Shi
Bo Long
Carson Kai-Sang Leung
Einoshin Suzuki
Ivor Wai-Hung Tsang
Yiping Ke
Pauli Miettinen
Zhengdong Lu
David Jensen
Stephen D. Scott
Mohammad Al Hasan
Shengrui Wang
Dimitrios Gunopulos
Andrea Tagarelli
Heikki Mannila
